date	count
2021-06-22 23:52:41.852693	2379033
2021-06-23 01:37:26.598367	2379137
2021-06-23 02:15:33.873830	2379171
2021-06-23 02:53:28.811140	2379191
2021-06-23 03:52:40.987991	2379223
2021-06-23 04:58:27.085797	2379273
2021-06-23 05:52:59.494327	2379307
2021-06-23 06:59:05.491017	2379321
2021-06-23 07:52:47.239490	2379354
2021-06-23 08:52:57.269437	2379392
2021-06-23 09:52:41.526840	2379433
2021-06-23 10:56:41.240348	2379521
2021-06-23 10:57:20.736464	2379521
2021-06-23 11:52:41.735061	2379564
2021-06-23 13:03:33.973188	2379616
2021-06-23 13:52:40.160015	2379664
2021-06-23 14:52:57.405270	2379708
2021-06-23 15:56:33.389246	2379812
2021-06-23 17:05:06.742019	2379899
2021-06-23 17:52:57.972105	2379946
2021-06-23 18:56:15.485649	2380008
2021-06-23 19:53:00.453042	2380132
2021-06-23 20:52:41.678487	2380202
2021-06-23 21:52:41.335704	2380276
2021-06-23 22:53:03.878939	2380339
2021-06-23 23:55:13.218601	2380390
2021-06-24 01:38:52.806469	2380414
2021-06-24 02:12:08.751779	2380447
2021-06-24 02:55:05.980160	2380472
2021-06-24 03:55:07.493536	2380515
2021-06-24 04:58:24.507457	2380530
2021-06-24 05:55:20.700650	2380545
2021-06-24 06:59:29.932414	2380572
2021-06-24 07:55:28.392068	2380589
2021-06-24 08:55:07.199761	2380607
2021-06-24 09:55:09.537862	2380626
2021-06-24 10:55:10.892239	2380675
2021-06-24 11:55:11.959483	2380691
2021-06-24 13:09:02.113679	2380734
2021-06-24 13:55:13.367584	2380757
2021-06-24 14:55:23.650818	2380806
2021-06-24 15:56:29.321029	2380885
2021-06-24 17:08:47.573567	2380929
2021-06-24 17:55:06.871141	2381007
2021-06-24 18:56:34.116676	2381030
2021-06-24 19:55:07.722189	2381089
2021-06-24 20:55:20.404752	2381143
2021-06-24 21:55:08.688781	2381211
2021-06-24 22:55:12.390801	2381238
2021-06-24 23:55:16.404280	2381290
